,test_loss
21099,94.55712890625
41399,46.16610336303711
57999,38.63129425048828
76399,74.79644775390625
96499,68.47993469238281
113999,92.72401428222656
132599,73.69095611572266
151999,65.77780151367189
172899,100.69454956054688
194099,76.17218017578125
212099,62.40806198120117
231699,117.4554214477539
252399,97.0565948486328
271499,61.03143692016602
290499,73.7743148803711
311799,105.59095764160156
331099,77.28179931640625
351899,106.0604019165039
369599,44.42164993286133
390099,79.8385009765625
407099,40.98329544067383
423999,43.84992980957031
443099,104.51651000976562
463399,65.30729675292969
482999,68.50981903076172
501999,98.60000610351562
520799,138.07093811035156
539099,96.73828887939452
557299,120.89634704589844
576999,101.61139678955078
595399,102.19475555419922
616499,82.94686889648438
634999,96.54322052001952
653799,103.07504272460938
673299,75.37907409667969
691699,85.94133758544922
711199,68.00255584716797
731099,98.27794647216795
752199,123.19384002685548
773899,84.86262512207031
793599,92.93222045898438
812199,85.31698608398438
832199,109.62001037597656
848599,39.817848205566406
866799,93.44879913330078
885799,82.0861587524414
904899,94.72740173339844
924199,113.6772003173828
946199,101.5580825805664
965799,51.329139709472656
984799,63.094932556152344
1002399,107.4706573486328
1023799,107.60987091064452
1044499,78.69425964355469
1064599,102.40953826904295
1080999,41.163818359375
1100899,69.47645568847656
1119399,110.8262176513672
1137699,34.44739532470703
1155799,129.04277038574222
1174099,39.44623565673828
1192299,67.25346374511719
1210599,89.73499298095703
1231499,97.84522247314452
1251699,107.52953338623048
1273299,96.51158905029295
1293299,68.04836273193361
1312499,91.44882202148438
1332899,62.92947769165039
1352799,106.93513488769531
1372099,89.8342056274414
1391399,93.75236511230469
1412299,144.52249145507812
1431699,74.2107162475586
1452199,85.18705749511719
1469599,83.47966003417969
1488399,73.2806167602539
1509599,95.18156433105469
1529899,92.87195587158205
1549699,77.68329620361328
1569499,76.40003204345703
1588999,82.19363403320312
1611299,103.48767852783205
1631299,112.1237564086914
1648999,84.42467498779297
1668499,65.76516723632811
1689399,85.22538757324219
1708199,113.96875762939452
1726799,88.36441040039062
1745299,90.04509735107422
1766999,113.5054168701172
1785899,56.13391494750977
1805599,111.28826141357422
1825399,97.86844635009766
1846299,106.25325012207031
1864399,71.2607192993164
1882799,44.04335403442383
1902099,85.11900329589844
1919499,119.63146209716795
1937999,48.979164123535156
